RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
84;74;80+;2022;16871;0;40625,00000000000;0,000000000000000000;0,0000000000000
84;74;80+;2023;12661;0;41457,00000000000;0,000000000000000000;0,0000000000000
84;74;80+;2024;14657;0;42555,00000000000;0,000000000000000000;0,0000000000000
84;74;NA;2019;13;0;NA;0,000000000000000000;NA
84;74;NA;2020;5;0;NA;0,000000000000000000;NA
84;74;NA;2021;3;0;NA;0,000000000000000000;NA
84;74;NA;2022;10;0;NA;0,000000000000000000;NA
84;74;NA;2023;14;0;NA;0,000000000000000000;NA
84;74;NA;2024;0;0;NA;NA;NA
93;04;0-1;2019;9;0;2832,88656387604;0,000000000000000000;0,0000000000000
93;04;0-1;2020;5;0;2898,48194036956;0,000000000000000000;0,0000000000000
93;04;0-1;2021;8;0;2857,70481342694;0,000000000000000000;0,0000000000000
93;04;0-1;2022;4;0;2930,94201366883;0,000000000000000000;0,0000000000000
